"","Control_1","Control_2","Control_3","Treated_1","Treated_2","Treated_3"
"Gene_1445",59,86,95,64,94,106
"Gene_1446",55,84,90,61,91,81
"Gene_1447",62,83,127,61,109,126
"Gene_1448",62,88,104,67,101,138
"Gene_1449",43,76,121,58,89,117
"Gene_1450",57,66,96,73,85,102
"Gene_1451",52,83,86,65,73,111
"Gene_1452",68,88,107,74,95,138
"Gene_1453",68,71,83,53,71,114
"Gene_1454",59,75,103,66,85,112
"Gene_1455",58,85,90,57,100,126
"Gene_1456",72,90,99,64,96,104
"Gene_1457",60,87,107,63,84,102
"Gene_1458",48,70,88,59,97,120
"Gene_1459",59,90,105,57,91,96
"Gene_1460",49,81,99,62,107,106
"Gene_1461",52,80,129,68,101,123
"Gene_1462",57,78,100,75,94,129
"Gene_1463",57,84,109,58,90,126
"Gene_1464",57,88,70,73,83,117
"Gene_1465",55,87,86,66,108,120
"Gene_1466",59,83,83,67,98,124
"Gene_1467",49,77,108,78,102,102
"Gene_1468",57,71,104,78,100,120
"Gene_1469",55,76,103,50,88,134
"Gene_1470",62,67,110,78,80,136
"Gene_1471",57,64,112,68,107,124
"Gene_1472",52,83,98,74,95,118
"Gene_1473",58,68,122,66,112,100
"Gene_1474",54,84,112,56,101,134
"Gene_1475",57,94,84,71,95,118
"Gene_1476",59,87,101,56,96,128
"Gene_1477",58,84,100,73,84,140
"Gene_1478",53,83,91,75,79,105
"Gene_1479",53,79,124,67,89,116
"Gene_1480",55,80,126,68,94,130
"Gene_1481",53,88,113,54,104,140
"Gene_1482",62,88,117,60,73,102
"Gene_1483",57,85,94,54,89,142
"Gene_1484",58,86,122,74,94,116
"Gene_1485",48,86,87,62,83,122
"Gene_1486",55,86,101,71,96,134
"Gene_1487",66,68,94,66,71,122
"Gene_1488",51,84,110,71,85,138
"Gene_1489",61,96,118,65,101,108
"Gene_1490",47,64,113,72,101,128
"Gene_1491",57,78,109,68,102,90
"Gene_1492",58,86,99,67,85,117
"Gene_1493",56,79,133,62,85,130
"Gene_1494",60,83,107,72,109,112
"Gene_1495",65,84,96,70,96,129
"Gene_1496",53,86,105,61,101,126
"Gene_1497",55,102,103,65,83,135
"Gene_1498",61,91,107,63,89,110
"Gene_1499",44,86,96,67,96,118
"Gene_1500",57,88,114,61,96,126
"Gene_1501",57,71,100,59,100,120
"Gene_1502",49,73,86,57,80,122
"Gene_1503",49,93,98,67,92,128
"Gene_1504",45,79,129,82,90,105
"Gene_1505",61,85,117,54,64,112
"Gene_1506",50,81,113,61,94,111
"Gene_1507",51,72,120,55,88,140
"Gene_1508",58,73,103,64,91,98
"Gene_1509",64,70,101,58,97,114
"Gene_1510",53,70,104,59,101,148
"Gene_1511",55,79,107,62,103,150
"Gene_1512",65,81,105,67,109,123
"Gene_1513",59,86,91,58,102,132
"Gene_1514",57,72,73,58,114,126
"Gene_1515",44,77,103,60,76,138
"Gene_1516",52,76,83,75,100,135
"Gene_1517",47,81,108,69,108,112
"Gene_1518",50,84,103,74,91,120
"Gene_1519",62,72,104,54,97,116
"Gene_1520",48,83,98,76,85,135
"Gene_1521",65,73,94,70,88,110
"Gene_1522",50,72,108,62,84,141
"Gene_1523",63,104,104,69,94,110
"Gene_1524",66,73,113,77,72,111
"Gene_1525",57,83,99,66,96,128
"Gene_1526",52,90,94,78,88,118
"Gene_1527",52,79,88,51,107,129
"Gene_1528",71,92,100,72,107,123
"Gene_1529",43,69,107,62,101,114
"Gene_1530",70,81,108,65,100,130
"Gene_1531",51,81,118,64,110,111
"Gene_1532",52,81,99,55,108,123
"Gene_1533",64,68,108,68,85,116
"Gene_1534",46,78,100,74,65,130
"Gene_1535",45,89,96,66,88,117
"Gene_1536",48,87,101,74,114,93
"Gene_1537",46,88,98,76,98,106
"Gene_1538",54,82,105,74,112,146
"Gene_1539",57,78,116,72,112,130
"Gene_1540",55,88,104,69,108,90
"Gene_1541",64,83,92,50,102,99
"Gene_1542",65,85,109,72,98,102
"Gene_1543",61,87,108,77,106,138
"Gene_1544",53,74,101,60,97,129
"Gene_1545",52,81,101,62,119,140
"Gene_1546",62,82,87,62,101,120
"Gene_1547",55,101,136,74,98,114
"Gene_1548",51,83,100,78,94,102
"Gene_1549",59,72,107,66,88,117
"Gene_1550",50,80,90,53,82,108
"Gene_1551",51,87,112,64,91,129
"Gene_1552",71,63,87,47,107,116
"Gene_1553",49,69,105,62,88,130
"Gene_1554",59,79,92,58,94,150
"Gene_1555",56,72,110,62,89,120
"Gene_1556",50,82,104,54,109,129
"Gene_1557",57,77,108,65,103,135
"Gene_1558",50,72,108,58,95,118
"Gene_1559",45,62,105,72,90,116
"Gene_1560",41,88,116,70,112,99
"Gene_1561",51,78,120,75,92,135
"Gene_1562",56,94,110,73,97,126
"Gene_1563",55,92,94,74,102,94
"Gene_1564",64,89,101,70,84,144
"Gene_1565",57,84,79,72,113,90
"Gene_1566",56,82,107,68,104,106
"Gene_1567",60,66,95,71,107,124
"Gene_1568",50,61,104,67,108,111
"Gene_1569",57,83,116,64,97,100
"Gene_1570",59,85,126,57,80,129
"Gene_1571",57,79,113,63,110,94
"Gene_1572",62,85,105,62,92,104
"Gene_1573",63,90,98,51,98,132
"Gene_1574",62,78,100,56,88,124
"Gene_1575",53,74,95,70,97,111
"Gene_1576",71,70,94,59,90,112
"Gene_1577",50,67,87,62,100,140
"Gene_1578",64,73,113,66,98,110
"Gene_1579",55,72,90,60,100,106
"Gene_1580",58,85,105,59,70,105
"Gene_1581",61,88,98,69,107,130
"Gene_1582",52,87,100,73,89,124
"Gene_1583",57,88,112,62,91,116
"Gene_1584",50,73,104,74,86,105
"Gene_1585",57,91,88,72,95,81
"Gene_1586",59,96,103,61,98,102
"Gene_1587",53,71,100,64,109,128
"Gene_1588",62,92,110,56,86,104
"Gene_1589",60,72,120,68,94,114
"Gene_1590",59,100,103,58,110,105
"Gene_1591",43,85,94,70,91,118
"Gene_1592",53,77,90,58,88,124
"Gene_1593",71,79,127,65,98,114
"Gene_1594",56,85,78,57,106,116
"Gene_1595",48,83,88,52,103,102
"Gene_1596",64,87,109,67,90,126
"Gene_1597",43,93,84,58,94,118
"Gene_1598",63,83,101,51,80,110
"Gene_1599",31,66,73,61,114,123
"Gene_1600",51,63,96,58,79,105
"Gene_1601",60,77,104,54,89,150
"Gene_1602",46,82,99,71,90,96
"Gene_1603",54,77,104,61,109,111
"Gene_1604",70,114,88,58,107,120
"Gene_1605",52,71,99,63,115,92
"Gene_1606",59,67,127,48,98,124
"Gene_1607",49,76,100,66,113,80
"Gene_1608",51,81,99,55,90,135
"Gene_1609",57,66,103,65,91,110
"Gene_1610",64,75,94,59,101,122
"Gene_1611",52,93,116,54,86,120
"Gene_1612",50,75,94,58,107,120
"Gene_1613",52,80,104,58,74,120
"Gene_1614",61,66,87,61,102,138
"Gene_1615",59,76,116,75,84,128
"Gene_1616",67,90,90,77,95,105
"Gene_1617",56,82,114,75,108,110
"Gene_1618",57,81,101,52,98,118
"Gene_1619",49,72,99,62,96,116
"Gene_1620",51,87,95,58,91,142
"Gene_1621",52,61,112,78,77,92
"Gene_1622",57,86,105,67,92,124
"Gene_1623",57,77,82,82,94,124
"Gene_1624",59,80,100,56,96,122
"Gene_1625",52,80,117,74,110,136
"Gene_1626",62,74,107,56,95,142
"Gene_1627",61,83,96,62,103,124
"Gene_1628",66,75,96,68,94,146
"Gene_1629",60,69,105,67,102,116
"Gene_1630",55,79,116,59,96,120
"Gene_1631",60,87,113,63,107,130
"Gene_1632",57,77,91,66,80,105
"Gene_1633",58,90,98,82,79,122
"Gene_1634",55,83,91,73,85,123
"Gene_1635",57,78,109,79,91,108
"Gene_1636",64,81,104,62,88,116
"Gene_1637",60,72,125,67,80,114
"Gene_1638",59,76,94,76,106,126
"Gene_1639",57,76,118,60,97,144
"Gene_1640",55,75,99,85,103,111
"Gene_1641",46,76,98,61,95,141
"Gene_1642",52,68,84,59,86,129
"Gene_1643",57,68,87,65,114,116
"Gene_1644",52,79,107,65,100,117
"Gene_1645",68,70,90,62,95,117
"Gene_1646",48,72,100,66,92,138
"Gene_1647",50,64,101,50,121,124
"Gene_1648",59,89,113,73,96,117
"Gene_1649",61,86,116,64,78,148
"Gene_1650",50,93,120,73,108,118
"Gene_1651",57,90,100,63,95,120
"Gene_1652",48,78,105,58,92,130
"Gene_1653",62,74,96,57,83,108
"Gene_1654",54,90,113,74,91,106
"Gene_1655",45,79,107,67,90,105
"Gene_1656",46,75,114,74,94,111
"Gene_1657",59,72,110,77,91,126
"Gene_1658",59,83,112,56,110,118
"Gene_1659",52,80,82,58,92,135
"Gene_1660",55,61,109,62,91,106
"Gene_1661",51,105,99,66,91,141
"Gene_1662",57,76,122,61,100,130
"Gene_1663",48,76,88,64,101,129
"Gene_1664",61,97,110,62,94,120
"Gene_1665",65,93,117,58,131,130
"Gene_1666",55,82,82,69,122,138
"Gene_1667",58,86,77,62,108,122
"Gene_1668",55,88,112,57,86,106
"Gene_1669",59,90,105,75,102,118
"Gene_1670",57,74,134,71,107,159
"Gene_1671",57,80,83,63,89,140
"Gene_1672",62,93,94,66,84,134
"Gene_1673",50,73,110,66,90,148
"Gene_1674",64,94,109,68,89,117
"Gene_1675",61,93,86,79,101,110
"Gene_1676",45,104,94,60,100,108
"Gene_1677",55,88,96,65,96,126
"Gene_1678",58,104,113,69,97,120
"Gene_1679",43,79,109,66,110,126
"Gene_1680",62,85,117,63,83,138
"Gene_1681",59,83,95,58,106,123
"Gene_1682",50,84,118,56,102,90
"Gene_1683",52,67,90,56,92,118
"Gene_1684",71,85,91,70,97,116
"Gene_1685",42,89,96,60,90,134
"Gene_1686",57,93,100,58,88,122
"Gene_1687",66,87,101,63,102,112
"Gene_1688",48,89,98,69,112,110
"Gene_1689",57,76,104,72,115,128
"Gene_1690",55,73,105,63,103,129
"Gene_1691",54,94,103,76,110,117
"Gene_1692",62,61,113,58,88,128
"Gene_1693",50,87,101,61,85,118
"Gene_1694",50,99,92,53,86,118
"Gene_1695",50,70,103,61,91,129
"Gene_1696",57,67,100,55,109,111
"Gene_1697",49,101,107,75,115,117
"Gene_1698",44,85,104,59,101,124
"Gene_1699",51,84,90,68,91,112
"Gene_1700",60,76,118,70,119,129
"Gene_1701",46,73,100,66,82,122
"Gene_1702",57,70,104,54,95,123
"Gene_1703",55,65,88,67,94,129
"Gene_1704",58,85,126,49,101,123
"Gene_1705",61,84,113,76,94,100
"Gene_1706",55,70,118,64,104,120
"Gene_1707",59,74,94,58,120,106
"Gene_1708",48,77,86,72,97,123
"Gene_1709",56,89,105,70,86,120
"Gene_1710",57,77,108,63,79,132
"Gene_1711",51,88,91,62,89,122
"Gene_1712",55,70,117,74,107,152
"Gene_1713",51,81,101,63,96,144
"Gene_1714",55,80,108,72,109,117
"Gene_1715",54,69,96,67,86,123
"Gene_1716",50,79,83,58,107,160
"Gene_1717",65,97,114,70,72,94
"Gene_1718",55,90,110,68,107,100
"Gene_1719",44,72,127,63,95,118
"Gene_1720",55,82,105,66,102,124
"Gene_1721",51,79,112,54,103,114
"Gene_1722",50,68,98,68,102,135
"Gene_1723",62,95,105,69,94,140
"Gene_1724",64,94,109,66,91,114
"Gene_1725",52,96,101,72,104,112
"Gene_1726",64,85,113,68,101,128
"Gene_1727",57,96,84,70,114,132
"Gene_1728",54,70,98,54,89,99
"Gene_1729",53,85,105,69,103,128
"Gene_1730",62,71,99,71,92,111
"Gene_1731",55,84,107,66,97,126
"Gene_1732",65,86,105,69,107,123
"Gene_1733",62,78,82,67,98,122
"Gene_1734",55,91,91,74,102,122
"Gene_1735",46,84,118,74,103,108
"Gene_1736",43,72,98,66,89,118
"Gene_1737",59,89,94,58,95,150
"Gene_1738",59,100,99,65,94,141
"Gene_1739",57,75,96,66,102,117
"Gene_1740",57,85,104,55,110,104
"Gene_1741",56,83,108,72,88,136
"Gene_1742",53,90,90,65,84,98
"Gene_1743",57,83,110,71,100,134
"Gene_1744",49,87,112,61,91,130
"Gene_1745",56,73,108,71,98,114
"Gene_1746",80,77,109,68,101,126
"Gene_1747",66,72,114,65,98,126
"Gene_1748",59,89,109,67,107,147
"Gene_1749",50,88,108,49,108,122
"Gene_1750",55,87,107,64,91,126
"Gene_1751",63,83,90,70,106,102
"Gene_1752",57,81,78,61,121,117
"Gene_1753",51,90,98,69,94,93
"Gene_1754",59,89,84,68,94,123
"Gene_1755",49,86,117,55,108,129
"Gene_1756",56,88,116,62,100,124
"Gene_1757",52,83,94,51,82,114
"Gene_1758",57,66,116,70,110,116
"Gene_1759",52,77,103,67,108,128
"Gene_1760",53,86,94,74,114,122
"Gene_1761",55,62,83,62,112,132
"Gene_1762",43,64,105,46,80,122
"Gene_1763",57,86,116,54,121,130
"Gene_1764",58,65,112,65,112,111
"Gene_1765",52,79,98,74,90,114
"Gene_1766",55,73,90,50,84,122
"Gene_1767",57,74,91,68,98,130
"Gene_1768",62,77,114,66,94,147
"Gene_1769",58,84,109,62,108,141
"Gene_1770",62,66,118,64,79,114
"Gene_1771",52,66,107,60,98,116
"Gene_1772",62,84,90,82,96,112
"Gene_1773",59,69,99,70,95,130
"Gene_1774",61,68,103,58,97,132
"Gene_1775",52,71,110,63,104,123
"Gene_1776",62,75,96,79,80,111
"Gene_1777",52,77,105,62,95,110
"Gene_1778",59,83,91,66,88,114
"Gene_1779",53,83,125,62,84,120
"Gene_1780",53,87,107,61,92,124
"Gene_1781",54,88,87,74,103,120
"Gene_1782",64,81,99,62,106,110
"Gene_1783",55,65,126,66,106,132
"Gene_1784",50,99,87,67,106,88
"Gene_1785",62,70,99,71,108,132
"Gene_1786",57,60,105,67,78,147
"Gene_1787",72,85,107,73,84,96
"Gene_1788",50,76,99,63,91,128
"Gene_1789",61,87,104,55,104,111
"Gene_1790",64,90,104,58,100,124
"Gene_1791",52,78,94,66,96,122
"Gene_1792",50,82,103,62,95,108
"Gene_1793",50,84,107,68,88,94
"Gene_1794",56,86,120,58,100,128
"Gene_1795",59,87,140,67,94,110
"Gene_1796",60,88,100,63,92,129
"Gene_1797",69,78,101,76,106,124
"Gene_1798",43,87,117,62,94,111
"Gene_1799",53,75,103,54,86,117
"Gene_1800",50,87,77,62,100,147
"Gene_1801",55,80,110,65,89,141
"Gene_1802",64,84,100,57,77,102
"Gene_1803",55,73,96,54,92,129
"Gene_1804",62,80,109,59,97,102
"Gene_1805",55,85,90,56,89,117
"Gene_1806",68,70,120,65,90,104
"Gene_1807",52,67,124,76,91,138
"Gene_1808",52,69,109,62,98,110
"Gene_1809",54,78,94,59,102,124
"Gene_1810",49,81,114,68,95,112
"Gene_1811",45,74,100,63,78,98
"Gene_1812",62,89,133,72,95,124
"Gene_1813",59,81,98,63,98,108
"Gene_1814",62,87,103,57,96,110
"Gene_1815",53,96,118,69,94,134
"Gene_1816",55,84,122,62,85,99
"Gene_1817",52,75,100,73,101,96
"Gene_1818",50,69,87,58,90,117
"Gene_1819",64,97,100,65,109,120
"Gene_1820",52,72,104,45,90,102
"Gene_1821",50,93,125,68,85,120
"Gene_1822",69,66,100,66,104,123
"Gene_1823",46,82,90,59,84,123
"Gene_1824",54,79,94,74,95,102
"Gene_1825",74,71,103,66,100,154
"Gene_1826",59,91,92,67,119,105
"Gene_1827",46,87,90,73,73,123
"Gene_1828",54,75,86,68,109,102
"Gene_1829",48,88,100,54,97,104
"Gene_1830",55,80,92,56,89,122
"Gene_1831",50,72,103,57,85,128
"Gene_1832",49,87,104,57,79,130
"Gene_1833",58,71,118,64,97,104
"Gene_1834",59,82,96,62,121,114
"Gene_1835",58,74,95,55,101,116
"Gene_1836",50,81,108,74,115,117
"Gene_1837",50,75,81,72,88,108
"Gene_1838",55,85,88,65,88,108
"Gene_1839",55,74,129,54,101,147
"Gene_1840",62,83,101,58,92,116
"Gene_1841",50,77,107,66,97,123
"Gene_1842",51,83,104,64,97,108
"Gene_1843",51,90,124,70,88,138
"Gene_1844",50,81,87,61,112,136
"Gene_1845",55,96,96,59,102,112
"Gene_1846",50,76,82,60,79,152
"Gene_1847",46,61,99,62,84,110
"Gene_1848",52,81,114,68,104,117
"Gene_1849",62,93,118,66,92,123
"Gene_1850",64,85,83,70,91,136
"Gene_1851",52,61,113,70,108,150
"Gene_1852",59,61,100,54,84,132
"Gene_1853",59,84,95,70,97,114
"Gene_1854",45,84,113,45,83,134
"Gene_1855",66,79,78,65,116,117
"Gene_1856",58,66,96,77,101,100
"Gene_1857",56,79,96,55,91,118
"Gene_1858",62,69,101,70,82,104
"Gene_1859",48,85,99,69,83,100
"Gene_1860",54,90,109,68,88,111
"Gene_1861",45,66,121,68,121,130
"Gene_1862",57,89,81,50,102,116
"Gene_1863",55,70,99,59,101,87
"Gene_1864",56,78,101,63,103,129
"Gene_1865",58,82,91,50,116,94
"Gene_1866",51,84,112,60,83,116
"Gene_1867",52,67,92,70,102,128
"Gene_1868",65,88,104,62,96,123
"Gene_1869",52,80,139,70,98,111
"Gene_1870",64,85,99,65,113,102
"Gene_1871",53,76,120,57,98,134
"Gene_1872",60,86,104,62,88,111
"Gene_1873",48,77,99,48,95,120
"Gene_1874",62,88,96,67,96,108
"Gene_1875",57,83,113,71,97,100
"Gene_1876",54,78,92,74,85,110
"Gene_1877",61,72,101,78,112,102
"Gene_1878",50,74,112,58,94,112
"Gene_1879",46,76,107,55,83,132
"Gene_1880",59,100,91,58,118,120
"Gene_1881",61,84,109,72,84,90
"Gene_1882",58,89,105,60,98,126
"Gene_1883",49,79,108,53,91,148
"Gene_1884",62,94,108,60,82,105
"Gene_1885",54,80,114,58,92,93
"Gene_1886",59,79,104,62,79,132
"Gene_1887",63,71,127,62,106,123
"Gene_1888",57,80,101,70,101,130
"Gene_1889",55,106,104,65,91,116
"Gene_1890",49,85,120,63,90,120
"Gene_1891",58,81,107,70,100,122
"Gene_1892",57,87,122,79,86,106
"Gene_1893",48,70,116,59,103,88
"Gene_1894",55,89,94,67,82,114
"Gene_1895",57,63,99,78,126,135
"Gene_1896",52,86,124,60,85,134
"Gene_1897",59,83,99,77,97,134
"Gene_1898",68,66,91,74,102,118
"Gene_1899",64,80,110,62,106,123
"Gene_1900",53,79,109,69,96,126
"Gene_1901",51,67,109,68,72,130
"Gene_1902",58,97,95,62,71,118
"Gene_1903",55,90,113,55,102,111
"Gene_1904",57,84,101,63,97,126
"Gene_1905",61,77,88,71,90,135
"Gene_1906",50,75,112,77,104,104
"Gene_1907",49,62,121,73,95,120
"Gene_1908",66,96,114,66,96,114
"Gene_1909",60,73,99,63,72,105
"Gene_1910",55,80,92,51,88,129
"Gene_1911",58,80,96,65,118,118
"Gene_1912",61,69,103,62,96,110
"Gene_1913",66,83,105,54,78,105
"Gene_1914",52,75,94,56,100,110
"Gene_1915",63,85,114,53,100,134
"Gene_1916",64,73,127,54,103,122
"Gene_1917",57,77,113,70,92,128
"Gene_1918",58,79,98,62,94,108
"Gene_1919",69,94,113,60,106,124
"Gene_1920",59,73,109,62,98,135
"Gene_1921",55,68,101,59,95,110
"Gene_1922",59,83,91,71,107,118
"Gene_1923",59,80,95,61,82,110
"Gene_1924",46,97,94,51,95,99
"Gene_1925",59,85,103,62,108,156
"Gene_1926",61,69,81,66,91,120
"Gene_1927",69,76,98,60,97,105
"Gene_1928",60,100,99,49,95,122
"Gene_1929",47,76,98,62,114,124
"Gene_1930",57,72,86,55,122,117
"Gene_1931",59,73,94,63,76,124
"Gene_1932",47,92,112,58,80,111
"Gene_1933",52,70,108,75,82,156
"Gene_1934",57,92,109,69,92,128
"Gene_1935",60,87,87,66,90,112
"Gene_1936",46,80,103,62,89,114
"Gene_1937",58,82,121,57,90,100
"Gene_1938",57,77,77,61,124,118
"Gene_1939",51,81,88,69,74,116
"Gene_1940",52,84,113,64,84,122
"Gene_1941",54,78,129,65,79,102
"Gene_1942",55,71,121,55,114,147
"Gene_1943",56,70,100,57,100,123
"Gene_1944",42,89,112,65,108,124
"Gene_1945",61,78,105,58,94,104
"Gene_1946",52,68,107,62,109,150
"Gene_1947",48,76,109,62,96,102
"Gene_1948",53,94,104,74,109,106
"Gene_1949",55,72,99,58,96,105
"Gene_1950",48,74,121,64,98,122
"Gene_1951",44,86,86,64,107,106
"Gene_1952",61,87,120,61,118,123
"Gene_1953",48,89,100,65,104,136
"Gene_1954",50,76,81,71,100,124
"Gene_1955",56,84,109,62,107,128
"Gene_1956",47,85,98,70,84,129
"Gene_1957",48,73,108,67,97,102
"Gene_1958",49,70,95,65,106,120
"Gene_1959",57,64,120,57,91,123
"Gene_1960",54,87,98,54,76,129
"Gene_1961",57,64,109,73,94,120
"Gene_1962",50,81,138,73,91,124
"Gene_1963",55,76,127,54,86,110
"Gene_1964",66,72,108,73,91,96
"Gene_1965",51,79,104,56,95,136
"Gene_1966",49,70,108,65,73,128
"Gene_1967",48,92,126,69,101,128
"Gene_1968",55,79,92,62,86,142
"Gene_1969",62,81,103,69,112,124
"Gene_1970",43,92,105,62,78,132
"Gene_1971",56,86,82,59,113,104
"Gene_1972",55,74,108,65,107,108
"Gene_1973",67,70,107,58,97,118
"Gene_1974",59,68,70,57,90,106
"Gene_1975",54,56,124,70,95,123
"Gene_1976",52,76,114,54,94,124
"Gene_1977",50,72,107,70,112,96
"Gene_1978",56,87,84,67,116,135
"Gene_1979",52,80,109,77,100,88
"Gene_1980",61,77,105,65,97,122
"Gene_1981",64,59,95,85,85,130
"Gene_1982",51,84,129,70,97,118
"Gene_1983",57,58,95,64,108,130
"Gene_1984",48,82,72,62,115,116
"Gene_1985",58,86,96,67,83,110
"Gene_1986",66,87,122,46,104,129
"Gene_1987",55,67,110,52,107,116
"Gene_1988",54,76,92,57,116,123
"Gene_1989",55,98,107,60,98,128
"Gene_1990",59,90,110,52,94,112
"Gene_1991",55,71,104,62,92,116
"Gene_1992",54,89,103,63,109,112
"Gene_1993",46,67,112,62,103,124
"Gene_1994",50,97,90,62,91,146
"Gene_1995",48,80,118,78,94,96
"Gene_1996",46,101,107,66,113,122
"Gene_1997",56,69,95,62,77,105
"Gene_1998",60,83,96,62,71,132
"Gene_1999",62,91,92,71,102,135
"Gene_2000",61,89,107,62,90,111
"Gene_2001",54,82,120,54,103,100
"Gene_2002",69,98,96,63,90,128
"Gene_2003",46,70,110,62,112,123
"Gene_2004",48,86,100,65,103,114
"Gene_2005",53,71,98,62,95,142
"Gene_2006",52,94,100,69,101,106
"Gene_2007",64,87,99,73,106,108
"Gene_2008",52,76,99,61,94,130
"Gene_2009",57,83,121,54,89,114
"Gene_2010",52,73,104,65,106,130
"Gene_2011",68,75,105,65,92,99
"Gene_2012",65,85,87,68,114,150
"Gene_2013",54,83,114,74,94,112
"Gene_2014",60,73,99,70,115,123
"Gene_2015",50,76,120,66,90,136
"Gene_2016",57,79,104,74,103,118
"Gene_2017",52,72,96,67,94,108
"Gene_2018",55,75,122,64,108,124
"Gene_2019",52,75,107,68,80,123
"Gene_2020",64,80,81,59,101,134
"Gene_2021",55,83,109,61,103,106
"Gene_2022",64,72,107,63,102,94
"Gene_2023",59,78,103,66,95,98
"Gene_2024",51,69,101,58,92,138
"Gene_2025",58,78,105,57,114,126
"Gene_2026",47,94,116,57,84,114
"Gene_2027",60,76,117,66,94,126
"Gene_2028",52,91,103,62,107,104
"Gene_2029",68,75,114,62,97,112
"Gene_2030",69,84,95,62,98,140
"Gene_2031",52,87,90,54,101,132
"Gene_2032",69,81,86,51,101,120
"Gene_2033",59,77,107,59,94,126
"Gene_2034",58,84,88,54,90,92
"Gene_2035",52,85,117,73,78,126
"Gene_2036",60,79,108,64,80,123
"Gene_2037",58,88,112,65,94,138
"Gene_2038",51,83,113,70,102,126
"Gene_2039",61,69,98,70,85,132
"Gene_2040",60,76,131,61,108,142
"Gene_2041",64,77,95,64,102,129
"Gene_2042",68,69,117,74,101,99
"Gene_2043",52,75,130,61,84,111
"Gene_2044",55,81,121,69,94,120
"Gene_2045",62,92,92,58,124,122
"Gene_2046",51,88,91,54,101,126
"Gene_2047",51,102,129,65,101,110
"Gene_2048",62,79,88,52,70,104
"Gene_2049",56,83,117,58,96,117
"Gene_2050",62,84,124,51,119,108
"Gene_2051",51,88,121,74,103,117
"Gene_2052",43,81,122,60,114,112
"Gene_2053",56,74,116,52,96,112
"Gene_2054",56,80,108,70,88,116
"Gene_2055",62,69,98,57,98,108
"Gene_2056",44,85,87,65,115,117
"Gene_2057",62,89,117,66,118,114
"Gene_2058",41,71,95,56,94,116
"Gene_2059",55,87,91,57,91,138
"Gene_2060",54,66,105,62,103,129
"Gene_2061",49,81,107,67,98,122
"Gene_2062",55,85,121,73,94,116
"Gene_2063",56,75,100,83,110,141
"Gene_2064",46,79,104,53,107,111
"Gene_2065",43,97,116,74,94,124
"Gene_2066",61,82,92,57,100,105
"Gene_2067",52,83,101,70,100,130
"Gene_2068",50,73,109,64,85,130
"Gene_2069",60,90,105,59,90,104
"Gene_2070",46,80,105,67,94,99
"Gene_2071",50,81,105,59,90,120
"Gene_2072",62,82,117,62,96,102
"Gene_2073",54,79,110,61,100,132
"Gene_2074",63,85,95,65,84,114
"Gene_2075",56,97,105,54,91,120
"Gene_2076",61,82,104,70,90,120
"Gene_2077",57,78,127,50,96,128
"Gene_2078",61,78,104,66,97,130
"Gene_2079",56,69,84,66,95,141
"Gene_2080",62,72,104,53,116,130
"Gene_2081",53,70,105,68,71,154
"Gene_2082",51,95,110,63,89,128
"Gene_2083",61,82,104,47,96,117
"Gene_2084",52,78,103,61,89,135
"Gene_2085",63,75,114,67,102,130
"Gene_2086",52,84,117,59,86,141
"Gene_2087",52,78,100,65,86,136
"Gene_2088",55,95,88,61,100,124
"Gene_2089",63,80,98,66,103,123
"Gene_2090",55,76,96,66,89,116
"Gene_2091",59,81,121,72,84,114
"Gene_2092",59,74,82,56,80,128
"Gene_2093",58,83,95,62,98,116
"Gene_2094",52,80,118,70,88,140
"Gene_2095",52,63,96,64,95,126
"Gene_2096",52,97,84,62,92,117
"Gene_2097",51,73,112,62,86,140
"Gene_2098",48,96,105,66,77,140
"Gene_2099",68,93,99,65,104,118
"Gene_2100",44,73,110,60,104,106
"Gene_2101",63,79,120,60,79,118
"Gene_2102",52,83,86,58,98,111
"Gene_2103",60,87,90,65,96,123
"Gene_2104",64,85,108,67,98,126
"Gene_2105",63,81,110,54,95,94
"Gene_2106",52,56,86,57,94,128
"Gene_2107",48,71,107,59,102,135
"Gene_2108",62,67,103,73,86,112
"Gene_2109",59,75,108,62,83,110
"Gene_2110",52,71,82,54,107,118
"Gene_2111",45,85,114,69,116,116
"Gene_2112",61,80,101,67,86,128
"Gene_2113",63,81,107,63,92,130
"Gene_2114",55,68,122,75,79,122
"Gene_2115",61,98,79,62,96,96
"Gene_2116",57,78,105,51,91,114
"Gene_2117",61,80,100,72,96,112
"Gene_2118",52,88,94,79,92,124
"Gene_2119",66,72,110,74,88,146
"Gene_2120",39,84,94,69,106,124
"Gene_2121",57,92,98,78,92,118
"Gene_2122",47,78,112,58,102,116
"Gene_2123",58,77,101,65,106,112
"Gene_2124",64,89,100,48,91,117
"Gene_2125",46,74,103,61,89,111
"Gene_2126",55,84,103,55,79,130
"Gene_2127",55,78,103,71,85,112
"Gene_2128",52,84,109,62,89,138
"Gene_2129",63,86,86,48,90,141
"Gene_2130",53,105,95,67,96,123
"Gene_2131",50,90,96,57,101,134
"Gene_2132",49,88,107,70,89,132
"Gene_2133",53,82,88,68,84,112
"Gene_2134",66,76,107,62,84,111
"Gene_2135",62,78,110,53,108,118
"Gene_2136",53,83,91,68,102,104
"Gene_2137",50,73,91,72,110,112
"Gene_2138",48,91,107,62,97,116
"Gene_2139",59,71,109,72,98,116
"Gene_2140",55,71,86,60,112,120
"Gene_2141",50,78,109,66,85,130
"Gene_2142",51,81,125,67,88,114
